feature,importance
worst concave points,0.1447556083731682
mean concave points,0.1199162525295958
worst area,0.10071898546262477
mean concavity,0.08216727432626723
worst perimeter,0.0722699076495034
worst radius,0.06560172537251287
mean perimeter,0.057374600514069285
mean radius,0.04661740476461814
mean area,0.04649801418805992
worst concavity,0.03939152436293833
radius error,0.03503409856006312
area error,0.03407103782435396
mean compactness,0.02207700459818096
worst texture,0.02088441876019689
worst compactness,0.019421133602420024
mean texture,0.014138402695632884
perimeter error,0.01285549965091096
worst smoothness,0.010239695203135215
concavity error,0.006544886067893418
symmetry error,0.006158296838013093
worst fractal dimension,0.005823261446688889
mean smoothness,0.005666093286781752
worst symmetry,0.005538713996048274
smoothness error,0.005209854137234994
compactness error,0.004541000000026488
texture error,0.0041954305173592015
mean fractal dimension,0.003943660905591261
mean symmetry,0.0031034314502475452
concave points error,0.0029920203979593466
fractal dimension error,0.002250762517903632
